Film	Worldwide Gross	Budget	Opening Weekend
The Desolation of Smaug	847326338	225	73645197
Man of Steel	668045518	225	116619362
Oz The Great & Powerful	493311825	215	79110453
The Lone Ranger	260502115	215	29210849
Monsters University	743559607	200	82429469
Iron Man 3	1215439994	200	174144585
Jack the Giant Slayer	197687603	195	27202226
Star Trek Into Darkness	467365246	190	70165559
Pacific Rim	411002906	190	37285325
World War Z	540007876	190	66411834
47 Ronin	121755840	175	9910310
Thor: The Dark World	632909243	170	85737841
Fast & Furious 6	788679850	160	97375245
Frozen	810399011	150	243390
White House Down	205366737	150	24852258
The Croods	587204668	135	43639736
Turbo	282570682	135	21312625
THG: Catching Fire	855895310	130	158074286
GI Joe: Retaliation	375740705	130	40501814
RIPD	78324220	130	12691415
After Earth	243,843,127	130	27520040
The Wolverine	414828246	120	53113752
Oblivion	286168572	120	37054485
Elysium	286140700	115	29807393
Ender's Game	112231473	110	27017351
The Great Gatsby	351040419	105	50085185
The Smurfs 2	347545360	105	17548389
The Hangover Part III	362000072	103	41671198
Gravity	688508962	100	55785112
The Wolf of Wall Street	175608822	100	18361578
Epic	268426634	100	33531068
A Good Day to Die Hard	304654182	92	24834845
The Secret Life of Walter Mitty	169042680	90	12765508
Percy Jackson: Sea of Monsters	199849423	90	14401054
Red 2	142078971	84	18048422
Grown Ups 2	246,984,278	80	41508572
Walking with Dinosaurs	113,191,563	80	7091938
Cloudy with a Chance of Meatballs 2	257770505	78	34017930
Despicable Me 2	964761265	76	83517315
Now You See Me	351723989	75	29350389
Olympus Has Fallen	161025640	70	30373794
2 Guns	131940411	61	27059130
The Mortal Instruments: City of Bones	90565421	60	9336957
Gangster Squad	105200903	60	17070347
Beautiful Creatures	60052138	60	7582595
The Internship	93492844	58	17325307
Captain Phillips	216,485,837	55	25718314
Free Birds	90835490	55	15805237
Anchorman 2	165503339	50	26232425
Escape Plan	133,375,335	50	9885732
Hansel & Gretel	225703475	50	19690956
Planes	219788712	50	22232291
Prisoners	122,126,687	46	20817053
The Heat	229930771	43	39115043
Lone Survivor	93914921	40	90872
42	95020213	40	27487144
American Hustle	162399951	40	740455
Grudge Match	29236293	40	7021993
The Host	48227201	40	10600112
Rush	90247624	38	187289
Riddick	98337295	38	19030375
We're the Millers	269994119	37	26419396
Saving Mr Banks	91258310	35	413373
Warm Bodies	116980662	35	20353967
Identity Thief	173965010	35	34551025
Parker	46,216,641	35	7008222
Broken City	19701164	35	8268908
The Big Wedding	21819348	35	7591663
This is the End	126041322	32	20719162
Lee Daniels' The Butler	167708305	30	24637312
Side Effects	63372757	30	9303145
Carrie	84029257	30	16101552
Runner Runner	62675095	30	7706712
Safe Haven	71349120	28	21401594
Last Vegas	117741847	28	16334566
Kick-Ass 2	59556104	28	13332955
Delivery Man	31331216	26	7944977
Pain and Gain	86175291	26	20244505
August: Osage County	35455421	25	179302
Homefront	31358898	22	6915241
The Conjuring	318000141	20	41855326
The World's End	46089287	20	8811790
Scary Movie 5	78378744	20	14157367
Blue Jasmine	94801545	18	612064
The Best Man Holiday	71625195	17	30107555
Evil Dead	97542952	17	25775847
The Place Beyond the Pines	35485608	15	279457
Jackass Presents: Bad Grandpa	149003019	15	32055177
Snitch	42930462	15	13167607
Mama	146428180	15	28402310
The Call	68572378	13	17118745
21 and Over	45582380	13	8754168
Admission	18007317	13	6154984
Quartet	59520298	11	47122
Baggage Claim	22456509	8,5	9031102
Don Jon	30450756	6	8677009
Insidious Chapter 2	161503032	5	40272103
The Way, Way Back	23198652	4,6	552788
The Purge	89328627	3	34058360
A Haunted House	59941683	2,5	18101682
12 years a slave	128180178	20	6675731
Her	30365376	23	5383775
Dallas Buyers Club	30845161	5	2687157
